Position,Player Name,Team,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Image Link
1,Virat Kohli,RCB,15,15,3,741,113*,61.75,479,154.69,1,5,62,38,https://scores.iplt20.com/ipl/playerimages/Virat%20Kohli.png?v=4
2,Ruturaj Gaikwad,CSK,14,14,3,583,108*,53.00,413,141.16,1,4,58,18,https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png?v=4
3,Riyan Parag,RR,16,14,3,573,84*,52.09,384,149.21,0,4,40,33,https://scores.iplt20.com/ipl/playerimages/Riyan%20Parag.png?v=4
4,Travis Head,SRH,15,15,1,567,102,40.50,296,191.55,1,4,64,32,https://scores.iplt20.com/ipl/playerimages/Travis%20Head.png?v=4
5,Sanju Samson,RR,16,15,4,531,86,48.27,346,153.46,0,5,48,24,https://scores.iplt20.com/ipl/playerimages/Sanju%20Samson.png?v=4
6,Sai Sudharsan,GT,12,12,1,527,103,47.91,373,141.28,1,2,48,16,https://scores.iplt20.com/ipl/playerimages/Sai%20Sudharsan.png?v=4
7,K L Rahul,LSG,14,14,0,520,82,37.14,382,136.12,0,4,45,19,https://scores.iplt20.com/ipl/playerimages/K%20L%20Rahul.png?v=4
8,Nicholas Pooran,LSG,14,14,6,499,75,62.38,280,178.21,0,3,35,36,https://scores.iplt20.com/ipl/playerimages/Nicholas%20Pooran.png?v=4
9,Sunil Narine,KKR,15,14,0,488,109,34.86,270,180.74,1,3,50,33,https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png?v=4
10,Abhishek Sharma,SRH,16,16,1,484,75*,32.27,237,204.21,0,3,36,42,https://scores.iplt20.com/ipl/playerimages/Abhishek%20Sharma.png?v=4
11,Heinrich Klaasen,SRH,16,15,3,479,80*,39.92,280,171.07,0,4,19,38,https://scores.iplt20.com/ipl/playerimages/Heinrich%20Klaasen.png?v=4
12,Rishabh Pant,DC,13,13,2,446,88*,40.55,287,155.40,0,3,36,25,https://scores.iplt20.com/ipl/playerimages/Rishabh%20Pant.png?v=4
13,Faf Du Plessis,RCB,15,15,0,438,64,29.20,271,161.62,0,4,47,21,https://scores.iplt20.com/ipl/playerimages/Faf%20Du%20Plessis.png?v=4
14,Phil Salt,KKR,12,12,1,435,89*,39.55,239,182.00,0,4,50,24,https://scores.iplt20.com/ipl/playerimages/Phil%20Salt.png?v=4
15,Yashasvi Jaiswal,RR,16,15,1,435,104*,31.07,279,155.91,1,1,54,16,https://scores.iplt20.com/ipl/playerimages/Yashasvi%20Jaiswal.png?v=4
16,Shubman Gill,GT,12,12,1,426,104,38.73,289,147.40,1,2,37,15,https://scores.iplt20.com/ipl/playerimages/Shubman%20Gill.png?v=4
17,Rohit Sharma,MI,14,14,1,417,105*,32.08,278,150.00,1,1,45,23,https://scores.iplt20.com/ipl/playerimages/Rohit%20Sharma.png?v=4
18,Tilak Varma,MI,13,13,3,416,65,41.60,278,149.64,0,3,35,19,https://scores.iplt20.com/ipl/playerimages/Tilak%20Varma.png?v=4
19,Shivam Dube,CSK,14,14,3,396,66*,36.00,244,162.29,0,3,28,28,https://scores.iplt20.com/ipl/playerimages/Shivam%20Dube.png?v=4
20,Rajat Patidar,RCB,15,13,0,395,55,30.38,223,177.13,0,5,21,33,https://scores.iplt20.com/ipl/playerimages/Rajat%20Patidar.png?v=4
21,Marcus Stoinis,LSG,14,14,2,388,124*,32.33,263,147.52,1,2,39,16,https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png?v=4
